task_id,category,experiment,events,output_mib,events_per_second,elapsed_seconds,validation_seconds,peak_rss_mib,klm_nodes,unique_event_uids
1233,uubar,e1004,5000,42.459256172180176,73.21049878639994,68.29621547297575,5.074092881055549,579.546875,11060,5000
1234,ccbar,e1004,5000,57.641414642333984,23.266950051681263,214.89709604799282,15.568167734018061,598.25,11941,5000
1235,taupair,e1004,5000,25.134028434753418,53.259469664370144,93.88001854898175,7.134513656958006,439.68359375,7477,5000
1236,uubar,e1004,5000,42.33799743652344,39.91207056444656,125.27538484695833,9.374776394106448,533.44140625,10819,5000
1237,ccbar,e1004,5000,57.44778251647949,22.822966502925734,219.07756817498012,15.28221840201877,628.01953125,11959,5000
1238,taupair,e1004,5000,24.81248188018799,48.77310116298821,102.51552353193983,7.552690090145916,441.9453125,7144,5000
1239,uubar,e1004,5000,42.510589599609375,36.08281196913814,138.57013151515275,12.001784511143342,541.19921875,11054,5000
1240,ccbar,e1004,5000,57.20892810821533,31.773754914879248,157.3625784360338,12.50768865388818,668.0625,11975,5000
1241,taupair,e1004,5000,25.02346897125244,64.24782252425426,77.82364916900406,5.559115441021277,464.1796875,7253,5000
1242,uubar,e1004,5000,42.45275115966797,40.26295594641923,124.18362940500083,9.220721646997845,521.87109375,11223,5000
1243,ccbar,e1004,5000,57.25739002227783,22.6838963440494,220.42068629499954,15.738866551000683,596.0703125,11999,5000
1244,taupair,e1004,5000,25.08237934112549,29.033478483906038,172.21498287818395,9.980870612896979,493.80078125,7176,5000
1245,uubar,e1004,5000,42.72463893890381,35.70968079152642,140.01805362501182,9.835323220991995,521.6328125,11169,5000
1246,ccbar,e1004,5000,57.42480754852295,23.47253468761067,213.01491579599679,15.187950284002,646.99609375,11952,5000
1247,taupair,e1004,5000,24.95380401611328,61.41975313380087,81.40703511307947,6.491551446029916,473.44140625,7301,5000
1248,uubar,e1004,5000,42.3521728515625,73.397496139497,68.12221483001485,5.1933466349728405,504.5,11273,5000
1249,ccbar,e1004,5000,57.516106605529785,33.20697840884552,150.5707607129989,11.856820543998765,635.3671875,12031,5000
1250,taupair,e1004,5000,25.075236320495605,27.928890685395707,179.0260865110031,10.738432453988935,451.1484375,7451,5000
1251,uubar,e1004,5000,42.53965759277344,30.1408320032222,165.88792238600035,11.491172890999223,538.23046875,11185,5000
1252,ccbar,e1004,5000,57.43062973022461,24.220192060285967,206.43932085900087,15.288006042001143,616.0546875,12013,5000
1253,taupair,e1004,5000,24.835594177246094,39.97754700186522,125.0702050270047,8.031565735931508,471.75,7295,5000
1254,uubar,e1004,5000,42.64413833618164,38.5814788660456,129.59586171800038,9.781598999994458,522.80078125,10906,5000
1255,ccbar,e1004,5000,57.48017501831055,31.6052189799075,158.20171988615766,11.91975662088953,574.96875,12101,5000
1256,taupair,e1004,5000,24.82102870941162,28.592134867235316,174.87326578504872,10.283215377945453,470.83984375,7268,5000
1257,uubar,e1004,5000,41.942002296447754,42.834382608212884,116.72865804400135,8.591028955999718,527.50390625,10835,5000
1258,ccbar,e1004,5000,57.70261001586914,32.17189467683982,155.41515506699216,12.297735936008394,602.8984375,11775,5000
1259,taupair,e1004,5000,25.0856876373291,56.931750630998515,87.82445550299963,5.7986859979992005,471.4453125,7326,5000
1260,uubar,e1004,5000,42.696533203125,65.05898816272297,76.85333174094558,6.047645221929997,499.81640625,11236,5000
1261,ccbar,e1004,5000,57.43893337249756,31.498572320973164,158.7373532060301,12.207821914984379,612.828125,12052,5000
1262,taupair,e1004,5000,24.91378688812256,40.08045849932094,124.74907192203682,7.875434376997873,471.52734375,7264,5000
1263,uubar,e1004,5000,42.34048271179199,27.63421496212132,180.93511998996837,11.931408128002658,558.4765625,10935,5000
1264,ccbar,e1004,5000,57.47141361236572,21.89688495722148,228.3429816509597,15.8830197150819,607.0859375,12042,5000
1265,taupair,e1004,5000,25.054489135742188,51.8762715450032,96.38317965203896,7.80836469004862,457.80859375,7240,5000
1266,uubar,e1004,5000,42.58265018463135,73.26751478353434,68.24306808784604,5.253538269083947,511.19921875,11067,5000
1267,ccbar,e1004,5000,57.69044494628906,34.11598306042722,146.55887216100018,11.49453568699937,616.515625,11992,5000
1268,taupair,e1004,5000,25.04087734222412,59.89429918406518,83.48039910499938,5.696833088994026,475.90234375,7178,5000
1269,uubar,e1004,5000,42.50468349456787,64.27207327041884,77.79428522498347,5.960310663096607,497.8984375,10988,5000
1270,ccbar,e1004,5000,57.49331569671631,22.310040976526565,224.11433512205258,15.507006806787103,592.55078125,11962,5000
1271,taupair,e1004,5000,24.882554054260254,55.345796014399156,90.34109833200637,5.7575690600060625,476.1796875,7219,5000
1272,uubar,e1004,5000,42.238701820373535,35.84138357985179,139.50354312802665,11.971379937138408,493.625,11024,5000
1273,ccbar,e1004,5000,57.675424575805664,31.235251325563656,160.0755488689756,12.424109300016426,661.3828125,12017,5000
1274,taupair,e1004,5000,25.008912086486816,107.08946282701831,46.68993445299566,3.2967310291714966,444.2734375,7373,5000
1275,uubar,e1004,5000,42.380080223083496,44.857934071346975,111.46300210900154,8.958598952000102,532.6875,10939,5000
1276,ccbar,e1004,5000,57.466172218322754,31.978154477098343,156.35674046108034,12.531232715002261,642.06640625,11940,5000
1277,taupair,e1004,5000,24.991634368896484,96.52356827379637,51.80082014598884,3.593879168154672,465.78125,7307,5000
1278,uubar,e1004,5000,42.383856773376465,27.846200253492874,179.55771180568263,12.057431026361883,535.25,11303,5000
1279,ccbar,e1004,5000,57.660813331604004,31.25364996433736,159.98131436505355,12.067414470016956,595.74609375,11911,5000
